,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
379,CLEAN,EQ,1930.1,1937.3,1882.0,1887.6,1888.0,1920.1,136717,259971493.05,12-SEP-2022,10539,INE227W01023
380,CLEDUCATE,EQ,179.7,180.95,172.1,173.8,173.9,175.65,61726,10823354.6,12-SEP-2022,2474,INE201M01029
381,CLNINDIA,EQ,451.0,454.8,447.85,449.6,448.8,450.6,17584,7923915.05,12-SEP-2022,1058,INE492A01029
382,CLSEL,EQ,104.0,106.0,103.0,104.75,105.0,103.85,65895,6881323.15,12-SEP-2022,1039,INE419D01026
383,CMICABLES,EQ,26.5,26.7,25.4,25.8,25.6,26.3,109089,2830725.65,12-SEP-2022,862,INE981B01011
385,CMSINFO,EQ,263.75,273.65,263.75,270.45,270.2,261.6,772027,208874183.2,12-SEP-2022,15860,INE925R01014
386,COALINDIA,EQ,238.5,239.05,228.0,231.5,231.6,237.6,19053188,4424218709.0,12-SEP-2022,119408,INE522F01014
387,COASTCORP,EQ,357.0,377.0,353.1,369.05,369.4,350.55,180505,66701452.35,12-SEP-2022,6572,INE377E01016
388,COCHINSHIP,EQ,386.8,395.65,385.5,390.05,388.0,385.1,805969,314157628.45,12-SEP-2022,18181,INE704P01017
389,COFFEEDAY,EQ,57.2,59.1,55.0,55.4,55.45,56.8,11080943,631678403.1,12-SEP-2022,27008,INE335K01011
390,COFORGE,EQ,3589.0,3657.85,3582.1,3617.95,3614.0,3567.95,281977,1022288928.0,12-SEP-2022,26888,INE591G01017
391,COLPAL,EQ,1636.8,1646.3,1627.55,1630.9,1634.95,1634.85,281529,460023912.4,12-SEP-2022,17653,INE259A01022
392,COMPINFO,EQ,27.35,28.35,27.35,27.85,27.95,27.3,297247,8315581.0,12-SEP-2022,1435,INE070C01037
393,COMPUSOFT,EQ,25.8,26.9,25.15,25.25,25.4,25.25,305614,7936418.6,12-SEP-2022,1588,INE453B01029
394,CONCOR,EQ,753.0,771.0,753.0,764.85,764.0,752.7,3719126,2836363147.3,12-SEP-2022,88221,INE111A01025
395,CONFIPET,EQ,74.0,80.6,74.0,79.25,79.0,73.55,3950348,309691407.5,12-SEP-2022,14342,INE552D01024
396,CONSOFINVT,EQ,150.0,151.15,147.0,148.6,150.35,148.7,1634,242693.5,12-SEP-2022,76,INE025A01027
397,CONSUMBEES,EQ,88.43,88.43,86.51,87.42,87.41,87.0,11799,1029828.54,12-SEP-2022,258,INF204KA1LD7
399,CONTROLPR,EQ,491.65,495.0,482.1,486.7,490.0,486.8,22070,10766200.5,12-SEP-2022,1005,INE663B01015
401,CORALFINAC,EQ,40.3,40.35,39.35,39.45,39.65,39.6,28062,1116165.05,12-SEP-2022,332,INE558D01021
402,CORDSCABLE,EQ,66.1,68.8,66.1,66.4,66.2,67.0,37989,2558989.3,12-SEP-2022,572,INE792I01017
403,COROMANDEL,EQ,1050.0,1057.0,1038.5,1046.5,1047.75,1043.8,224877,235246966.15,12-SEP-2022,17800,INE169A01031
404,COSMOFIRST,EQ,896.95,897.65,878.0,886.55,886.8,892.7,118416,104873538.25,12-SEP-2022,5490,INE757A01017
405,COUNCODOS,EQ,4.7,4.7,4.45,4.5,4.5,4.6,72090,326551.05,12-SEP-2022,183,INE695B01025
406,CPSEETF,EQ,37.75,37.75,36.01,37.2,37.17,37.22,858330,31934502.47,12-SEP-2022,3241,INF457M01133
407,CRAFTSMAN,EQ,2828.0,2850.0,2769.35,2787.55,2790.0,2787.4,38183,106982468.85,12-SEP-2022,7379,INE00LO01017
408,CREATIVE,EQ,492.0,514.7,492.0,493.7,495.0,506.9,6896,3421090.2,12-SEP-2022,359,INE985W01018
