,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
35,ABMINTLLTD,EQ,101.5,103.2,100.5,102.85,103.2,101.85,286,29175.9,11-APR-2022,19,INE251C01025
36,ABSLAMC,EQ,531.0,536.75,530.0,532.45,531.6,529.35,189149,100798306.85,11-APR-2022,7803,INE404A01024
37,ABSLBANETF,EQ,39.0,39.0,37.01,37.48,37.44,37.59,9375,353064.95,11-APR-2022,180,INF209KB17D5
38,ABSLNN50ET,EQ,45.1,45.4,43.8,45.03,45.3,44.22,10175,456406.47,11-APR-2022,131,INF209KB16D7
39,ACC,EQ,2175.0,2284.6,2163.65,2232.9,2236.7,2170.55,1935494,4318177093.85,11-APR-2022,83006,INE012A01025
40,ACCELYA,EQ,972.0,999.0,955.1,961.85,962.3,978.8,43788,42642265.45,11-APR-2022,4789,INE793A01012
42,ACCURACY,EQ,238.9,239.7,232.1,235.95,236.3,237.05,146775,34614480.55,11-APR-2022,895,INE648Z01015
43,ACE,EQ,231.6,236.0,228.1,228.75,228.95,231.05,540698,125417322.35,11-APR-2022,5393,INE731H01025
45,ACRYSIL,EQ,852.9,865.95,840.0,846.1,849.0,848.95,63361,54198622.65,11-APR-2022,4124,INE482D01024
46,ADANIENT,EQ,2181.85,2200.0,2158.5,2180.2,2180.0,2170.95,1615715,3520693051.45,11-APR-2022,53060,INE423A01024
47,ADANIGREEN,EQ,2415.0,2786.2,2390.0,2665.15,2786.2,2321.85,4757168,12136706239.4,11-APR-2022,269231,INE364U01010
48,ADANIPORTS,EQ,840.0,860.0,839.3,854.55,854.5,839.3,6030153,5133951708.0,11-APR-2022,95147,INE742F01042
49,ADANIPOWER,EQ,218.95,231.95,216.1,231.6,231.95,220.95,61868038,14142063743.8,11-APR-2022,454327,INE814H01011
50,ADANITRANS,EQ,2598.0,2794.25,2580.25,2756.5,2794.25,2540.25,585491,1576951040.9,11-APR-2022,37544,INE931S01010
51,ADFFOODS,EQ,828.0,828.45,810.55,814.55,810.55,816.95,12076,9886034.85,11-APR-2022,1289,INE982B01019
53,ADORWELD,EQ,664.0,666.0,646.3,649.9,649.0,652.05,9910,6487378.0,11-APR-2022,673,INE045A01017
54,ADROITINFO,EQ,13.05,13.15,12.0,12.95,13.0,12.55,15225,193805.7,11-APR-2022,196,INE737B01033
55,ADSL,EQ,153.8,157.8,147.4,151.15,148.8,151.65,411365,63362551.1,11-APR-2022,9328,INE102I01027
56,ADVANIHOTR,EQ,90.6,92.35,90.0,91.05,90.7,90.0,64726,5905084.7,11-APR-2022,1461,INE199C01026
57,ADVENZYMES,EQ,301.8,318.3,301.7,316.55,317.0,301.35,685380,215472378.45,11-APR-2022,13216,INE837H01020
58,AEGISCHEM,EQ,229.0,230.0,224.35,225.6,225.6,228.2,462429,104906800.7,11-APR-2022,8906,INE208C01025
59,AFFLE,EQ,1275.3,1336.6,1270.05,1287.85,1291.0,1275.95,641001,838181780.65,11-APR-2022,41800,INE00WC01027
60,AGARIND,EQ,635.0,655.4,618.35,623.45,620.35,631.1,50731,32150912.0,11-APR-2022,5392,INE204E01012
62,AGROPHOS,EQ,32.0,37.85,31.75,34.75,36.0,31.55,1298747,46643967.95,11-APR-2022,8098,INE740V01019
63,AGSTRA,EQ,108.4,110.0,107.8,108.2,108.15,109.3,227159,24716986.6,11-APR-2022,3998,INE583L01014
64,AHLADA,EQ,109.85,109.9,105.8,106.45,108.0,108.2,10389,1115022.85,11-APR-2022,269,INE00PV01013
65,AHLEAST,EQ,250.0,250.0,230.75,239.05,240.0,244.25,13474,3194255.1,11-APR-2022,1074,INE926K01017
66,AHLUCONT,EQ,515.0,563.6,515.0,531.15,533.5,511.15,160203,86335705.55,11-APR-2022,10110,INE758C01029
68,AIAENG,EQ,1706.6,1759.95,1703.75,1751.65,1758.0,1703.7,232704,405342019.7,11-APR-2022,4214,INE212H01026
70,AIRAN,EQ,23.3,23.65,21.8,22.35,22.3,23.3,404193,9169716.7,11-APR-2022,1657,INE645W01026
71,AIROLAM,EQ,80.05,80.95,78.0,79.6,80.0,77.8,6961,558364.2,11-APR-2022,129,INE801L01010
74,AJANTPHARM,EQ,1744.5,1774.9,1709.8,1760.65,1771.0,1728.6,86373,149669041.3,11-APR-2022,11705,INE031B01049
75,AJMERA,EQ,372.45,375.9,361.0,368.6,366.5,371.95,60939,22552284.75,11-APR-2022,4062,INE298G01027
76,AJOONI,EQ,66.0,68.0,65.25,65.4,66.5,65.85,26487,1759369.95,11-APR-2022,637,INE820Y01013
77,AJRINFRA,EQ,2.7,2.7,2.45,2.55,2.55,2.5,4427489,11522719.75,11-APR-2022,2957,INE181G01025
78,AKASH,EQ,70.5,70.5,66.0,66.0,66.0,69.45,101399,6771887.8,11-APR-2022,882,INE737W01013
79,AKG,EQ,37.5,38.9,37.5,38.85,38.85,37.8,4604,176244.9,11-APR-2022,123,INE00Y801016
80,AKSHARCHEM,EQ,421.4,430.0,412.1,413.6,413.35,419.5,16752,7012462.25,11-APR-2022,1510,INE542B01011
81,AKSHOPTFBR,EQ,11.85,12.85,11.85,12.7,12.75,11.85,1073565,13399314.75,11-APR-2022,1620,INE523B01011
82,AKZOINDIA,EQ,1915.0,1925.4,1910.0,1912.55,1916.0,1914.8,3497,6703354.0,11-APR-2022,765,INE133A01011
83,ALANKIT,EQ,15.25,15.35,14.9,15.0,15.1,15.2,281391,4249670.7,11-APR-2022,1170,INE914E01040
84,ALBERTDAVD,EQ,595.5,606.0,595.1,598.25,597.0,598.55,4672,2804005.2,11-APR-2022,434,INE155C01010
85,ALEMBICLTD,EQ,85.0,87.4,85.0,86.55,87.0,85.2,875201,75503475.2,11-APR-2022,6669,INE426A01027
86,ALICON,EQ,715.0,728.95,708.0,711.25,711.0,719.15,3689,2635177.9,11-APR-2022,480,INE062D01024
87,ALKALI,EQ,106.5,108.8,104.0,108.15,108.45,104.45,60773,6537728.5,11-APR-2022,881,INE773I01017
88,ALKEM,EQ,3485.0,3531.95,3470.1,3477.15,3472.0,3472.65,108171,377574168.5,11-APR-2022,8737,INE540L01014
89,ALKYLAMINE,EQ,3315.0,3333.0,3270.0,3288.45,3306.55,3309.45,46725,154474790.1,11-APR-2022,9921,INE150B01039
90,ALLCARGO,EQ,359.35,377.0,359.3,369.85,371.5,359.35,662219,245817600.95,11-APR-2022,14121,INE418H01029
91,ALLSEC,EQ,549.95,553.9,539.35,544.5,544.8,549.95,17245,9393845.4,11-APR-2022,1113,INE835G01018
92,ALMONDZ,EQ,110.0,124.95,106.7,110.6,111.5,111.3,56613,6466203.75,11-APR-2022,2187,INE326B01027
93,ALOKINDS,EQ,29.1,29.8,28.9,29.25,29.35,28.85,27109528,795617193.75,11-APR-2022,23975,INE270A01029
94,ALPA,EQ,80.5,85.95,80.5,81.65,81.1,82.0,83905,6964904.5,11-APR-2022,1191,INE385I01010
95,ALPHAGEO,EQ,344.5,362.0,339.55,352.3,351.75,344.5,66256,23433050.45,11-APR-2022,2314,INE137C01018
97,AMARAJABAT,EQ,575.0,579.9,573.3,575.5,576.7,573.85,451158,260123216.35,11-APR-2022,14225,INE885A01032
98,AMBER,EQ,3601.0,3670.0,3601.0,3619.25,3628.0,3611.75,32363,118045741.9,11-APR-2022,7173,INE371P01015
99,AMBICAAGAR,EQ,30.6,30.75,28.3,29.6,29.55,30.7,107470,3170513.7,11-APR-2022,945,INE792B01012
100,AMBIKCO,EQ,2460.0,2475.0,2420.05,2438.25,2446.0,2437.75,26812,65531035.6,11-APR-2022,6054,INE540G01014
101,AMBUJACEM,EQ,338.45,369.5,338.3,360.2,364.2,337.35,30662312,10992569551.5,11-APR-2022,277497,INE079A01024
102,AMDIND,EQ,65.2,66.85,60.7,61.05,60.9,63.4,853834,54162195.2,11-APR-2022,7164,INE005I01014
103,AMIORG,EQ,1043.0,1053.7,1030.55,1034.9,1037.0,1044.6,68227,71018586.7,11-APR-2022,4238,INE00FF01017
104,AMJLAND,EQ,34.0,34.5,32.7,32.9,32.8,34.0,51759,1727277.3,11-APR-2022,707,INE606A01024
106,AMRUTANJAN,EQ,884.4,909.0,880.0,897.4,893.7,881.5,31325,27964252.5,11-APR-2022,5830,INE098F01031
107,ANANDRATHI,EQ,611.0,612.7,606.25,610.0,609.0,610.9,35653,21738503.25,11-APR-2022,1685,INE463V01026
108,ANANTRAJ,EQ,68.5,68.5,66.5,66.95,67.1,67.8,1028150,69258075.9,11-APR-2022,3167,INE242C01024
109,ANDHRACEMT,EQ,14.8,15.6,14.4,15.2,15.2,14.65,952629,14438705.55,11-APR-2022,2745,INE666E01012
110,ANDHRAPAP,EQ,339.95,347.4,335.55,338.35,336.05,337.45,43115,14753236.5,11-APR-2022,1581,INE435A01028
111,ANDHRSUGAR,EQ,164.9,168.2,163.15,164.45,164.7,163.8,512764,84772306.95,11-APR-2022,6337,INE715B01021
112,ANDREWYU,EQ,24.2,26.35,24.0,25.3,25.45,24.55,1241275,31679450.45,11-APR-2022,3891,INE449C01025
113,ANGELONE,EQ,1711.0,1782.4,1692.65,1718.75,1715.0,1700.5,1087570,1890901428.55,11-APR-2022,43463,INE732I01013
114,ANIKINDS,EQ,32.0,32.0,28.35,30.9,30.85,30.85,35634,1079915.0,11-APR-2022,387,INE087B01017
